Publisher,Account Manager,Priority,Calendar Period,Calendar Created?,Calendar Owner,Plan Ownership,Plan Sent?,Sent Date,Plan Received?,Received Date,Review Status,Feedback Returned Date,Uploaded to Tracking Tool?,Tracking Tool Upload Date,Tracking Tool Status,Blocker?,Due Date,Notes,Data Notice
Brightline Holdings,Dana Whitfield,High,FY26 Q3,Yes,Taylor Brooks,Internal-led,Not Sent,,Not Received,,Not Started,,No,,,No,2026-09-15,,Synthetic portfolio data - no real company information
Cascade Fictional Group,Marcus Cole,Medium,FY26 Q3,Yes,Jordan Hale,Partner-led,Not Sent,,Not Received,,Not Started,,No,,,No,2026-09-20,,Synthetic portfolio data - no real company information
Meridian Nova Co,Priya Anand,Low,FY26 Q3,Yes,Riley Shaw,Internal-led,Not Sent,,Not Received,,Not Started,,No,,,No,2026-09-25,,Synthetic portfolio data - no real company information
Northwind Traders Inc,Liam Foster,High,FY26 Q3,Yes,Sam Ortiz,Partner-led,Not Sent,,Not Received,,Not Started,,No,,,No,2026-08-10,,Synthetic portfolio data - no real company information
Alderwood Systems,Elena Cruz,Medium,FY26 Q3,Yes,Casey Lund,Internal-led,Not Sent,,Not Received,,Not Started,,No,,,No,2026-09-30,,Synthetic portfolio data - no real company information
Solaris Fictional Partners,Tomás Rivera,High,FY26 Q3,Yes,Morgan Reyes,Partner-led,Sent,2026-07-05,Not Received,,Not Started,,No,,,No,2026-08-05,Awaiting publisher confirmation,Synthetic portfolio data - no real company information
Harbor Peak Industries,Grace Kim,Medium,FY26 Q3,Yes,Avery Stone,Internal-led,Sent,2026-07-12,Not Received,,Not Started,,No,,,No,2026-08-20,Second reminder scheduled,Synthetic portfolio data - no real company information
Vantage Point Group,Samuel Osei,Low,FY26 Q3,Yes,Reese Carter,Partner-led,Sent,2026-07-30,Not Received,,Not Started,,No,,,No,2026-09-01,,Synthetic portfolio data - no real company information
Silverline Ventures,Nadia Petrov,High,FY26 Q3,Yes,Quinn Ellis,Internal-led,Sent,2026-07-31,Not Received,,Not Started,,No,,,No,2026-08-07,,Synthetic portfolio data - no real company information
Cobalt Fictional Corp,Owen Chen,Medium,FY26 Q3,Yes,Drew Sawyer,Partner-led,Sent,2026-07-08,Not Received,,Not Started,,No,,,No,2026-08-25,,Synthetic portfolio data - no real company information
Ridgeview Holdings,Isabella Rossi,Low,FY26 Q3,Yes,Taylor Brooks,Internal-led,Sent,2026-07-29,Not Received,,Not Started,,No,,,No,2026-09-10,,Synthetic portfolio data - no real company information
Amberfield Group,Ravi Kapoor,High,FY26 Q3,Yes,Jordan Hale,Partner-led,Sent,2026-07-01,Not Received,,Not Started,,No,,,No,2026-08-01,Escalated to manager,Synthetic portfolio data - no real company information
Timberline Solutions,Chloe Bennett,Medium,FY26 Q3,Yes,Riley Shaw,Internal-led,Sent,2026-07-03,Received,2026-07-10,In Review,,No,,,No,2026-08-30,,Synthetic portfolio data - no real company information
Pinegate Industries,Andre Silva,High,FY26 Q3,Yes,Sam Ortiz,Partner-led,Sent,2026-07-04,Received,2026-07-12,In Review,,No,,,No,2026-09-05,,Synthetic portfolio data - no real company information
Crestwood Fictional Co,Mei Lin,Low,FY26 Q3,Yes,Casey Lund,Internal-led,Sent,2026-07-08,Received,2026-07-15,In Review,,No,,,No,2026-09-12,,Synthetic portfolio data - no real company information
Lumen Path Group,Jordan Blake,Medium,FY26 Q3,Yes,Morgan Reyes,Partner-led,Sent,2026-07-09,Received,2026-07-16,In Review,,No,,,No,2026-09-18,,Synthetic portfolio data - no real company information
Ironbridge Holdings,Dana Whitfield,High,FY26 Q3,Yes,Avery Stone,Internal-led,Sent,2026-07-10,Received,2026-07-18,In Review,,No,,,No,2026-09-22,,Synthetic portfolio data - no real company information
Fernwood Systems,Marcus Cole,Low,FY26 Q3,Yes,Reese Carter,Partner-led,Sent,2026-07-11,Received,2026-07-19,In Review,,No,,,No,2026-09-25,,Synthetic portfolio data - no real company information
Brookstone Partners,Priya Anand,Medium,FY26 Q3,Yes,Quinn Ellis,Internal-led,Sent,2026-07-13,Received,2026-07-20,In Review,,No,,,No,2026-09-28,,Synthetic portfolio data - no real company information
Willowmere Group,Liam Foster,High,FY26 Q3,Yes,Drew Sawyer,Partner-led,Sent,2026-07-04,Received,2026-07-11,In Review,,No,,,No,2026-08-28,,Synthetic portfolio data - no real company information
Granite Peak Fictional,Elena Cruz,High,FY26 Q3,Yes,Taylor Brooks,Internal-led,Sent,2026-06-25,Received,2026-07-01,Revision Requested,,No,,,No,2026-08-15,No feedback returned yet,Synthetic portfolio data - no real company information
