account_id,account_name,account_manager,priority,region,planning_period,plan_created,plan_sent,sent_date,plan_received,received_date,review_status,feedback_returned,feedback_returned_date,final_approval,approval_date,next_action,next_action_owner,due_date,blocker,last_updated,data_notice
ACC-001,Brightline Holdings,Dana Whitfield,High,North America,Q3 2026,2026-07-01,No,,No,,Not Started,No,,No,,Initiate quarterly plan,Dana Whitfield,2026-09-15,No,2026-07-01,Synthetic portfolio data - no real company information
ACC-002,Cascade Fictional Group,Marcus Cole,Medium,EMEA,Q3 2026,2026-07-02,No,,No,,Not Started,No,,No,,Initiate quarterly plan,Marcus Cole,2026-09-20,No,2026-07-02,Synthetic portfolio data - no real company information
ACC-003,Meridian Nova Co,Priya Anand,Low,APAC,Q3 2026,2026-07-03,No,,No,,Not Started,No,,No,,Initiate quarterly plan,Priya Anand,2026-09-25,No,2026-07-03,Synthetic portfolio data - no real company information
ACC-004,Northwind Traders Inc,Liam Foster,High,LATAM,Q3 2026,2026-07-05,No,,No,,Not Started,No,,No,,Initiate quarterly plan,Liam Foster,2026-08-10,No,2026-07-05,Synthetic portfolio data - no real company information
ACC-005,Alderwood Systems,Elena Cruz,Medium,North America,Q3 2026,2026-07-06,No,,No,,Not Started,No,,No,,Initiate quarterly plan,Elena Cruz,2026-09-30,No,2026-07-06,Synthetic portfolio data - no real company information
ACC-006,Solaris Fictional Partners,Tomás Rivera,High,EMEA,Q3 2026,2026-07-01,Yes,2026-07-05,No,,Waiting for Response,No,,No,,Send follow-up reminder - no response after 7 days,Tomás Rivera,2026-08-05,No,2026-07-05,Synthetic portfolio data - no real company information
ACC-007,Harbor Peak Industries,Grace Kim,Medium,APAC,Q3 2026,2026-07-10,Yes,2026-07-12,No,,Waiting for Response,No,,No,,Send follow-up reminder - no response after 7 days,Grace Kim,2026-08-20,No,2026-07-12,Synthetic portfolio data - no real company information
ACC-008,Vantage Point Group,Samuel Osei,Low,LATAM,Q3 2026,2026-07-15,Yes,2026-07-30,No,,Waiting for Response,No,,No,,Monitor for response,Samuel Osei,2026-09-01,No,2026-07-30,Synthetic portfolio data - no real company information
ACC-009,Silverline Ventures,Nadia Petrov,High,North America,Q3 2026,2026-07-20,Yes,2026-07-31,No,,Waiting for Response,No,,No,,Expedite review - high-priority due date approaching,Nadia Petrov,2026-08-07,No,2026-07-31,Synthetic portfolio data - no real company information
ACC-010,Cobalt Fictional Corp,Owen Chen,Medium,EMEA,Q3 2026,2026-07-01,Yes,2026-07-08,No,,Waiting for Response,No,,No,,Send follow-up reminder - no response after 7 days,Owen Chen,2026-08-25,No,2026-07-08,Synthetic portfolio data - no real company information
ACC-011,Ridgeview Holdings,Isabella Rossi,Low,APAC,Q3 2026,2026-07-22,Yes,2026-07-29,No,,Waiting for Response,No,,No,,Monitor for response,Isabella Rossi,2026-09-10,No,2026-07-29,Synthetic portfolio data - no real company information
ACC-012,Amberfield Group,Ravi Kapoor,High,LATAM,Q3 2026,2026-06-25,Yes,2026-07-01,No,,Waiting for Response,No,,No,,Escalate to account owner - due date passed,Ravi Kapoor,2026-08-01,No,2026-07-01,Synthetic portfolio data - no real company information
